1/31/2020 9:38:39 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:39 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:40 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Exit Method: UnitySample.WCF.TestService.Implementation.TestService.GetListOfRandomObjects(), Verbose
1/31/2020 9:38:41 AM APAC\PMULLAN: Enter Method: UnitySample.WCF.TestService.Implementation.TestService.FindRandomStringObjectAsync(2), Verbose
